当前路径,文件名,扩展名,文件大小,SHA-256,Git最早出现时间,Git最后修改时间,推定游戏年度,推定季度,推定档案类型,推定状态,是否当前权威入口,是否被其他文件引用,是否存在完全重复文件,是否存在近似重复文件,建议未来路径,分类置信度,备注和冲突
data/province_panels/CZ11-WINTER-PROVINCES-1.json,CZ11-WINTER-PROVINCES-1.json,.json,1927,395e41f00f5fbb256a59f92005d9525141f6c0a6be28052a30b3a5aab32f8354,2026-08-01T00:47:46-07:00,2026-08-01T00:47:46-07:00,崇祯11年,冬,跨季度长期制度/名册/数据库,历史状态,否,是（2）,否,否,data/province_panels/CZ11-WINTER-PROVINCES-1.json,0.93,引用示例: data/latest_state.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/state_snapshots/崇祯10年秋执行快照.json,崇祯10年秋执行快照.json,.json,5230,5b015c747e6632c88befe344ec2b4a81abaae119138be90a86e325de44a1ef3c,2026-07-31T05:58:45-07:00,2026-07-31T05:58:45-07:00,崇祯10年,秋,季度结案/当前快照,历史状态,否,是（1）,否,否,data/state_snapshots/崇祯10年秋执行快照.json,0.88,引用示例: data/edicts/崇祯10年冬迁民开厂富民增税安业续制诏.json
data/strategy.json,strategy.json,.json,43380,56c5b9c96b4e06d3c6baf858d5c49102e7713f1ccaea3e0b4192e9858d222f7f,2026-07-30T15:11:05-05:00,2026-07-30T23:40:54-05:00,崇祯1年,春,跨季度长期制度/名册/数据库,历史状态,否,是（14）,否,否,data/strategy.json,0.86,引用示例: main.py | modules/ai_analysis.py | modules/database.py
data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json,CZ11-AUTUMN-NATIONAL-POLICY-1.json,.json,2611,dcf3c95c6849e9114613463e887f513711f76a368d2f7fde70a5310df7f89560,2026-07-31T22:26:02-07:00,2026-07-31T22:26:02-07:00,崇祯11年,秋,御前密谈/思考过程,待执行计划,是,是（5）,否,否,data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json,0.89,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/current_directives.json
data/strategy/崇祯10年冬至11年秋迁民开厂富民增税总考计划.json,崇祯10年冬至11年秋迁民开厂富民增税总考计划.json,.json,2242,423504c1ce41ccc8378374a08f8e2e61e6aeabe279e221204d9000da0bd8dccc,2026-07-31T05:59:56-07:00,2026-07-31T05:59:56-07:00,崇祯10年,冬,御前密谈/思考过程,待执行计划,否,否,否,否,data/strategy/崇祯10年冬至11年秋迁民开厂富民增税总考计划.json,0.89,
data/strategy/崇祯10年夏执行考成.json,崇祯10年夏执行考成.json,.json,4159,dc8d9ec86cb398159ef1df7fad725e36dba83778722dd92136b3300c50a17e61,2026-07-31T03:03:11-07:00,2026-07-31T03:03:11-07:00,崇祯10年,夏,季度结案/当前快照,历史状态,否,否,否,否,data/strategy/崇祯10年夏执行考成.json,0.88,
data/strategy/崇祯10年夏辽阳毁粮与未完成事项收官计划.json,崇祯10年夏辽阳毁粮与未完成事项收官计划.json,.json,4713,abc326a9f50ad712f4d04e88bbcfe3c080ce52460c99c0347ebd01dfb09640c7,2026-07-31T02:29:59-07:00,2026-07-31T02:29:59-07:00,崇祯10年,夏,御前密谈/思考过程,待执行计划,否,否,否,否,data/strategy/崇祯10年夏辽阳毁粮与未完成事项收官计划.json,0.89,
data/strategy/崇祯10年春四项授权冻结执行考成.json,崇祯10年春四项授权冻结执行考成.json,.json,1544,1b808f27a32a23ea9db21d67072c5ca25133747548ac279f417a9db37006a6c0,2026-07-31T02:20:51-07:00,2026-07-31T02:20:51-07:00,崇祯10年,春,季度结案/当前快照,历史状态,否,否,否,否,data/strategy/崇祯10年春四项授权冻结执行考成.json,0.88,
data/strategy/崇祯10年春方向草案.json,崇祯10年春方向草案.json,.json,5769,b3a39650a4af09c34f5d90fafcc23ccf206245deb4b74e8248c01674a2d1f5f8,2026-07-31T01:06:33-07:00,2026-07-31T02:15:11-07:00,崇祯10年,春,御前密谈/思考过程,待执行计划,否,否,否,否,data/strategy/崇祯10年春方向草案.json,0.89,
data/strategy/崇祯10年秋执行考成.json,崇祯10年秋执行考成.json,.json,3951,483116e1f4c3b95193406b3dc1075090059228ecba5443c3a7840441c8a7ddc9,2026-07-31T04:48:07-07:00,2026-07-31T04:48:07-07:00,崇祯10年,秋,季度结案/当前快照,历史状态,否,否,否,否,data/strategy/崇祯10年秋执行考成.json,0.88,
data/strategy/崇祯10年秋袭马开厂垦田移民增税计划.json,崇祯10年秋袭马开厂垦田移民增税计划.json,.json,1760,0e9aa6acae396f34dec9106a5190f4ddd9a2a8ace2f88814d22b4e05a3789cef,2026-07-31T03:47:17-07:00,2026-07-31T04:49:04-07:00,崇祯10年,秋,御前密谈/思考过程,待执行计划,否,否,否,否,data/strategy/崇祯10年秋袭马开厂垦田移民增税计划.json,0.89,
data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json,崇祯11年冬五基稳国与军械建筑面板同步收官计划.json,.json,8054,2f25af97951d72588a3a9ddcf5af9f28db362c0455bcafc9843027a0d39e1ac5,2026-08-01T00:44:08-07:00,2026-08-01T00:44:08-07:00,崇祯11年,冬,御前密谈/思考过程,待执行计划,否,是（2）,否,否,data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json,0.89,引用示例: data/current_snapshot.json | data/latest_state.json
data/strategy/崇祯11年夏九级军阶与军官部队考成计划.json,崇祯11年夏九级军阶与军官部队考成计划.json,.json,3493,5276baa246c1234d5540bcfba967d2b5e206e3e2db5d6b4b0983d1f5bfcbd4b9,2026-07-31T11:57:24-07:00,2026-07-31T12:34:16-07:00,崇祯11年,夏,御前密谈/思考过程,待执行计划,否,否,否,否,data/strategy/崇祯11年夏九级军阶与军官部队考成计划.json,0.89,
data/strategy/崇祯11年夏执行考成.json,崇祯11年夏执行考成.json,.json,5875,be405ba8431c7806be7bcb1089ff99bce01348ad60fde2705439401b44f532f1,2026-07-31T12:29:28-07:00,2026-07-31T12:29:28-07:00,崇祯11年,夏,季度结案/当前快照,历史状态,否,是（3）,否,否,data/strategy/崇祯11年夏执行考成.json,0.88,引用示例: data/edicts/崇祯11年夏核阶足饷实屯练军兴社续制诏.json | data/edicts/崇祯11年秋补枢实军兴工通海固本中兴诏.json | data/strategy/崇祯11年春至冬季度收益型举国兴业军政改制计划.json
data/strategy/崇祯11年春执行考成.json,崇祯11年春执行考成.json,.json,4729,bd4096b2c7161ae31aa32949e60eb2c048338144db5217420bcc47f7f252db0d,2026-07-31T08:55:41-07:00,2026-07-31T08:55:41-07:00,崇祯11年,春,季度结案/当前快照,历史状态,否,是（2）,否,否,data/strategy/崇祯11年春执行考成.json,0.88,引用示例: data/edicts/崇祯11年春定部考官兴业通货改军御敌验收诏.json | data/strategy/崇祯11年春至冬季度收益型举国兴业军政改制计划.json
data/strategy/崇祯11年春至冬季度收益型举国兴业军政改制计划.json,崇祯11年春至冬季度收益型举国兴业军政改制计划.json,.json,4704,a4d0eb3d68fe0f7181f63c8eebd22638ef4cb091c44929902db1d544376ac8ed,2026-07-31T07:24:25-07:00,2026-07-31T12:34:58-07:00,崇祯11年,春,御前密谈/思考过程,待执行计划,否,是（1）,否,否,data/strategy/崇祯11年春至冬季度收益型举国兴业军政改制计划.json,0.89,引用示例: data/edicts/崇祯11年冬刷新军建足械兴商裕民收官诏.json
data/strategy/崇祯11年秋中兴收官执行计划.json,崇祯11年秋中兴收官执行计划.json,.json,8063,1a511697a3a706ed408ef1f99fb55e10e8b376dfe7f73c7786acf29d2f03420f,2026-07-31T22:26:03-07:00,2026-07-31T22:26:03-07:00,崇祯11年,秋,御前密谈/思考过程,待执行计划,是,是（2）,否,否,data/strategy/崇祯11年秋中兴收官执行计划.json,0.89,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json
data/strategy/崇祯9年冬财政杂支与全国民心执行考成.json,崇祯9年冬财政杂支与全国民心执行考成.json,.json,1357,2f1a095f4e48fd84f9e299c1aa3e75cab30d63d0d3dd2f76f408e0f675798ad8,2026-07-31T01:11:23-07:00,2026-07-31T01:11:23-07:00,崇祯9年,冬,季度结案/当前快照,历史状态,否,否,否,否,data/strategy/崇祯9年冬财政杂支与全国民心执行考成.json,0.88,
data/strategy/崇祯9年冬财政杂支与全国民心拟诏约束.json,崇祯9年冬财政杂支与全国民心拟诏约束.json,.json,4610,0b21a3b9e3b957c30ecd89f0daf5668830191f052683f4d5f59c8bc750a5d9ba,2026-07-31T00:19:55-07:00,2026-07-31T00:19:55-07:00,崇祯9年,冬,御前密谈/思考过程,待执行计划,否,是（1）,否,否,data/strategy/崇祯9年冬财政杂支与全国民心拟诏约束.json,0.89,引用示例: data/strategy/崇祯9年冬财政杂支与全国民心执行考成.json
data/strategy/崇祯9年秋军制军备人才增垦计划.json,崇祯9年秋军制军备人才增垦计划.json,.json,5109,0ec32bc52356e51b595cac9eb628a0e6c5c78cfe2cdaf903bf4cd517715531e8,2026-07-30T23:20:47-07:00,2026-07-30T23:20:47-07:00,崇祯9年,秋,御前密谈/思考过程,待执行计划,否,否,否,否,data/strategy/崇祯9年秋军制军备人才增垦计划.json,0.89,
main.py,main.py,.py,16652,346057bac1ce262c83339b98b9fd89e4f881b1157411e44446a1e7eaf590bf13,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,崇祯1年,,仓库程序/配置,不适用,否,否,否,否,main.py,0.99,
modules/__init__.py,__init__.py,.py,59,466d5324a8f7c27392c7ea4a9ffbe4bfce15c77734d4c687d6d6bee98b852bc7,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,否,否,否,modules/__init__.py,0.99,
modules/ai_analysis.py,ai_analysis.py,.py,7051,900a9b2413d1ac37abda6880eb0a294946aa9912cd1a54f31e823d90bec6201e,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,是（1）,否,否,modules/ai_analysis.py,0.99,引用示例: 大明档案/季度目标/崇祯九年春诏书目标折损与季度验收Scale-v2.md
modules/database.py,database.py,.py,5828,a49b1fd753e079b9b926ca6bb01473d6ddc01cdab232b5150eaa8702bd296322,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,否,否,否,modules/database.py,0.99,
modules/edict_helper.py,edict_helper.py,.py,740,7a2654b7f441758ea3949074f0f537757ddde84c6dca0392d42948dc6c4a5811,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,否,否,否,modules/edict_helper.py,0.99,
modules/knowledge_base.py,knowledge_base.py,.py,5701,e9a10b283b0b5061a14ae20e70ad40fd7ec250549c454376cca3bafc939c0d10,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,否,否,否,modules/knowledge_base.py,0.99,
modules/turn_manager.py,turn_manager.py,.py,1277,404deaca626a786fe4eb1bf0628813bf645da3e9114eb707f30a3f1af8dcc0a0,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,否,否,否,modules/turn_manager.py,0.99,
skills/writeimperial-compact/SKILL.md,SKILL.md,.md,12151,a4cadc807e3f1dca60dbbba168114b96c6e01a49118d0ddfa178783ba051ac2d,2026-08-01T04:20:46-07:00,2026-08-01T04:24:44-07:00,,,仓库程序/配置,不适用,否,是（5）,否,否,skills/writeimperial-compact/SKILL.md,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md
skills/writeimperial/MEMORY_PROTOCOL.md,MEMORY_PROTOCOL.md,.md,930,2cf9452b9f589ba30b4dee41dad12ee08157180733bc35264e18f7ca8633693d,2026-07-30T23:11:04-07:00,2026-07-30T23:11:04-07:00,,,仓库程序/配置,不适用,否,否,否,否,skills/writeimperial/MEMORY_PROTOCOL.md,0.99,
skills/writeimperial/SKILL.md,SKILL.md,.md,15386,b01c118889da98c0e4a59e7455b54dac5e882f7b4e39c5c408ed6e5546438e57,2026-07-30T15:11:05-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（5）,否,否,skills/writeimperial/SKILL.md,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md
skills/writeimperial/agents/openai.yaml,openai.yaml,.yaml,236,6900dacfa0ed075016c146755bd37998011dcfc264012723ebc509e517f2b5e9,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,否,否,否,skills/writeimperial/agents/openai.yaml,0.99,
skills/writeimperial/config/execution_scale_v3.json,execution_scale_v3.json,.json,12045,db3ebf9dc03f360a2c57efec097cacf4fe0a6c25e5fd16f4efed44cdb61c8456,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（5）,否,否,skills/writeimperial/config/execution_scale_v3.json,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff
skills/writeimperial/config/execution_scale_v3.schema.json,execution_scale_v3.schema.json,.json,11295,e31798442282e6bee303ffe8eae5bf8d9c8bfc8e00dbd65fcae76e6ed0b33dce,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（3）,否,否,skills/writeimperial/config/execution_scale_v3.schema.json,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff | skills/writeimperial_v3_更新包/writeimperial_v3_update/给ChatGPT的修改指令.txt
skills/writeimperial/references/archive_map.md,archive_map.md,.md,2065,22f75e60a52c7ba3f84d16e48d4338bd0e82847c42f10cec7238bb7ab977ae5d,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,是（4）,否,否,skills/writeimperial/references/archive_map.md,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff
skills/writeimperial/references/edict_rules.md,edict_rules.md,.md,13872,db97987f702b142429a5a551674a3c81eb522c5fedd8a2b30383de81a83f107d,2026-07-30T15:11:05-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（8）,否,否,skills/writeimperial/references/edict_rules.md,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial/references/institution_lifecycle_v3_1.md,institution_lifecycle_v3_1.md,.md,8657,46f8bbee518d29597d09e82b9b7d08e5dd3dfd103ccc39f9d4c93c7ed6ca4ce4,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（1）,否,否,skills/writeimperial/references/institution_lifecycle_v3_1.md,0.99,引用示例: skills/writeimperial/SKILL.md
skills/writeimperial/references/style_examples.md,style_examples.md,.md,1706,9375cfe956ff816df1a4071760742178daf2e5aceae8842a8b948581616a0e3e,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,仓库程序/配置,不适用,否,是（4）,否,否,skills/writeimperial/references/style_examples.md,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff
skills/writeimperial/references/target_scale_v3.md,target_scale_v3.md,.md,25626,5285ebec77396bf5b382bc36d539c8dda330b4a46ee6b478a50bc2fe44cafe61,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（7）,否,否,skills/writeimperial/references/target_scale_v3.md,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial/references/edict_rules.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial/templates/quarterly_scale_feedback.json,quarterly_scale_feedback.json,.json,2357,46ac372f0519657622081aa2962e81834a24312fc1bd34b03f8b4e6eed37a6f3,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（5）,否,否,skills/writeimperial/templates/quarterly_scale_feedback.json,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial/references/target_scale_v3.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial/templates/崇祯模拟器诏书撰写记忆模板.md,崇祯模拟器诏书撰写记忆模板.md,.md,8416,3ee82de79887f757439eacf64b70eaa79fb890c27076d3513bf9d93f22fc987f,2026-07-30T23:09:02-07:00,2026-07-30T23:09:02-07:00,,,仓库程序/配置,不适用,否,是（1）,否,否,skills/writeimperial/templates/崇祯模拟器诏书撰写记忆模板.md,0.99,引用示例: skills/writeimperial/MEMORY_PROTOCOL.md
skills/writeimperial/tests/scale_examples.md,scale_examples.md,.md,5322,59ed2005e89c2d2c5991195ab837969ebd23bcf1ae7de754bf07e2e9c1127956,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（4）,否,否,skills/writeimperial/tests/scale_examples.md,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff
skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md,CHANGELOG.md,.md,887,9501c6e7eac043ea9e13d049ec85f6408d9c169e4df8677a8d500047d00794f9,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（2）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md
skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json,MANIFEST.json,.json,2245,07517f9d3db8f0c4989c116a6839beb5e7cfb0cc7f8d68515333f5e90af9dd78,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,否,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json,0.99,
skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md,README.md,.md,2266,ba610253692c4f08ef37ab7a7401101d651ef595292931976845ed5c5fe2b73c,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（4）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md,0.99,引用示例: modules/knowledge_base.py | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | 大明档案/国策路线/国策路线.md
skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/SKILL.md,SKILL.md,.md,4030,b64e0e5352088636371d1a60a6c5bce6a4c92e6b05dacf22d2903931108e2aa3,2026-07-30T15:11:05-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（5）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/SKILL.md,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md
skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/references/edict_rules.md,edict_rules.md,.md,2972,6b77e18a7a12d660c0f3bf31d93746591ad464ecb4ddcf7d44613d9af078209d,2026-07-30T15:11:05-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（8）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/baseline_snapshot/skills/writeimperial/references/edict_rules.md,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff,writeimperial_scale_v3.diff,.diff,22467,8847425301031e08769d8b0569f0765d823125db9e07f3b6d9ce0541ffe3b648,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（1）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/SKILL.md,SKILL.md,.md,8317,953768f4370c78c638d2cbd4f1494010bddb068446187f5472eff77b2d7d1222,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（5）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/SKILL.md,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md
skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/config/execution_scale_v3.json,execution_scale_v3.json,.json,9527,7a6f7efc8a800125d2a46b9fc20d4aca430c13d8d26da6214e1dc9c06ff7c2f4,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（5）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/config/execution_scale_v3.json,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff
skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/config/execution_scale_v3.schema.json,execution_scale_v3.schema.json,.json,1252,523f6d9d5f5a9d4b2b849caff3fa1e14b9d79b51fd600dfc50f00f12d66293af,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（3）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/config/execution_scale_v3.schema.json,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff | skills/writeimperial_v3_更新包/writeimperial_v3_update/给ChatGPT的修改指令.txt
skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/references/edict_rules.md,edict_rules.md,.md,7662,65624e7c83f77d158ca3e0f92c517b75071b69427a18d06f18d4a479f66b65bd,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（8）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/references/edict_rules.md,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/CHANGELOG.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/references/target_scale_v3.md,target_scale_v3.md,.md,17319,826fb846c6c1f9224c3819da34a118a055610d3c7cc7acb4fad339278063b40d,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（7）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/references/target_scale_v3.md,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial/references/edict_rules.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/templates/quarterly_scale_feedback.json,quarterly_scale_feedback.json,.json,1147,ac23e8864227f78f7134323a466f9222f6d4dd6902f537814e55e314ebb44e5f,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（5）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/templates/quarterly_scale_feedback.json,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial/references/target_scale_v3.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json
skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/tests/scale_examples.md,scale_examples.md,.md,1677,b0df77504d9da9d67f123d1fc84b9a03ecd96a68c9abc8eb2df7811a040399f8,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（4）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/replacement/skills/writeimperial/tests/scale_examples.md,0.99,引用示例: skills/writeimperial/SKILL.md | skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/patch/writeimperial_scale_v3.diff
skills/writeimperial_v3_更新包/writeimperial_v3_update/给ChatGPT的修改指令.txt,给ChatGPT的修改指令.txt,.txt,1935,6ef6ac2e1dffd7802b030e54edb256117af732b4ed78d04d1778563dadee4ade,2026-07-30T23:40:54-05:00,2026-07-30T23:40:54-05:00,,,仓库程序/配置,不适用,否,是（2）,否,否,skills/writeimperial_v3_更新包/writeimperial_v3_update/给ChatGPT的修改指令.txt,0.99,引用示例: skills/writeimperial_v3_更新包/writeimperial_v3_update/MANIFEST.json | skills/writeimperial_v3_更新包/writeimperial_v3_update/README.md
uploads/20260729/163e2c52855f4dc9a173bd7e0f4d7143_天启七年冬季朝政纪要.md,163e2c52855f4dc9a173bd7e0f4d7143_天启七年冬季朝政纪要.md,.md,17362,d1b3225816f4d111605b36f86633e406539917715e01a6660e2273dfb8b04c40,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,天启7年,冬,原始上传资料,原始资料,否,是（1）,是：大明档案/朝政纪要/天启年/天启七年冬季朝政纪要.md,否,90_原始资料/用户上传/20260729/163e2c52855f4dc9a173bd7e0f4d7143_天启七年冬季朝政纪要.md,0.98,完全重复: 大明档案/朝政纪要/天启年/天启七年冬季朝政纪要.md；引用示例: uploads/index.json
uploads/20260729/5c87a2313e6b42a19bd09f180b0933e6_天启7年秋诏书.md,5c87a2313e6b42a19bd09f180b0933e6_天启7年秋诏书.md,.md,14597,757409ca0a561f57a1947fd67cc62bcfd983f285c5e0457466d276aa5b2ebe27,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,天启7年,秋,原始上传资料,原始资料,否,是（1）,是：大明档案/朝政纪要/天启年/天启7年秋诏书.md,否,90_原始资料/用户上传/20260729/5c87a2313e6b42a19bd09f180b0933e6_天启7年秋诏书.md,0.98,完全重复: 大明档案/朝政纪要/天启年/天启7年秋诏书.md；引用示例: uploads/index.json
